2350750	29099,15138,4078
6572500	29099,7963,6868
12008000	14261,25618,24274
8555500	25372,5598,18180,29078
425500	8313,22094,9563
4853750	25596,18024,19955
5980500	27155
4256500	2410,7868,4694
9039750	11196,14580,3228
4115500	6731,26619,14470
12215000	7868,6672,12352
591750	12220,26722,12394
3404000	22246,28653,3627
7149500	20645,2306,14930
7367000	20297,21336,18730
4956000	7868,14580,15315
7927750	7868,26288,25372
7886000	1428,22420,5267
9982500	2683,9369,20800
4606000	21110,14887,12435
145750	11196,11578,21110
10443000	21110,7868,27135
1710500	7868,28065,2729
9706000	12168,949,18508
10234000	9111,10970,28653
1627000	28641,25565,23770
9351750	14580,11080,993
9906500	21110,155,8689
6874250	26754,11080,2683,12168
1194750	7868,679,3627
5108000	14020,11080,29203
1617250	2217,27791,18002
10018000	5429,7868,11196
8633500	255,8148,4452
567250	11080,27791,7354
12371000	12394,14294,12352
6867750	14020,7552,2655
1319000	14020,5797,599
1832000	7868,25687,10916
3188000	12220,2655,18025
8430000	8637,7868,11080
980000	3228,29099,1739
3249250	7868,11080,14261
6099250	25372,13244,7868
2050000	27791,21659,26866
2316250	679,9688,949
10533750	14261,24601,29099
10915250	18075,23556,12395
6458000	1681
4557250	7868,19962,1831
405000	26698,19394,1135
1815750	28391,5067,25488
3031750	16110,16406,3228
5170500	7868,18730,21672
11111500	25372,21110,4216
6996000	12165,13754,2963
7016500	11679,26546,14020
3335000	8719,5574,12747
6264750	21110,29203,1415
9202750	21110,335,23134
10302500	21110,18167,679
3114000	21092,21110,20536
452750	21865,14796,15638
11947000	7868,11080,14020
8869250	8689,11203,143
6126750	15019,25117,24977
8909750	21110,3228,28270
1579250	4078,25424,13020
764750	7868,14153,29203
2910750	1372,19828,4039
8156500	1831,4078,6447
3245250	2257,18730,26722
4423500	24193,4147,11543
8195000	11080,7868,21672
10654750	7552,12212,4078
11632250	12220,21110,25022
5034000	12220,10584,7868
200250	12352,25570,1831
3168000	19742,20417,2240
11493000	7868,22727,22828
9079500	7868,27314,21071
8730250	911,3228,12068,11080,7868,8689,24601
65500	29099,15639,15018
6515500	21657,25372,8662
832250	1831,27791,23143
10054250	19660,20297,4667
4503500	11936,24193,12220
10619000	4949,29547,12352
11142000	12352,7868,29099
5220750	8689,25240,26216
5901250	18730,14575,12606
10521000	7868,13779,11080
1561250	12352,3627,14261
5812000	2683,17641,19993
2182750	2257,8689,21110
190500	4281,20425,18465
3977750	8689,17060,1461
10401500	7868,12189,27791
4814750	7868,679,25135
11307500	20300,22359,11196
3588500	1831,8637,12352
6247250	19615,22680,22736
10885750	20595,5098
887500	11080,29547,9549
10322250	5185,10702,1731
3148500	3627,12795,16217
11169500	14294,14020,10014
47000	23549,1591,4452
4102750	20585,26843,10026
5655250	11196,16406,4338
3293750	26523,18075,3627
341000	26722,679,26754
10393750	7868,29265,11080
6654750	14261,16110,679
5957500	29203,8637,2826
4475750	4949,11612,8689
7190750	27791,14526,1538
3524750	4808,26871,4491
12231250	28149,12220,19539
1441500	27508,12670,12033
9842500	7868,10908,18805
7320250	934,23793,414
3009000	5627,22393,12327
6205000	1461,17153,4731
4907500	11196,21110,5086
6299000	7868,25830,19962
4454500	15019,15138,27117
2251750	22727,6571,25177
382250	26722,7868,22393
5952250	5067,14020,12285
239250	7868,28481,21110
4804500	28465,24306,164
9044750	2945,27483,22864
10696000	21110,3458,19615
5199750	679,10868,5848
3952000	12220,2128,4648
2756000	21092,13773,2198
140500	18730,1831,23779
11496750	7868,29084,20101
71250	28641
7600250	3228,11176,4949
6433000	17087,16396,24471
2704750	3658,13592,22359,21026,20182
232000	7868,12133,361
7568750	12285,1831,2655
528250	12977,155,8693
10069500	7868,8637,4571
6334000	10627,23662,5598
1189000	4949,11176,12175,15019
4378500	8689,11176,11857
7211250	23656,7061,29099
5754500	14020,11196,23214
7810250	8637,6880,27791
7513250	29203,4078,1756
3520000	14020,23409,7105
4852000	7868,21110,26722
5027500	11679,25372,27092
8622000	8702,15935,11125
3396250	21838,18024,15534
8353250	12285,27205,7560
8123500	1591,3390,22852
573000	18868,19962,19615
3552000	24385
8910750	7868,24503,27514
299750	11080,21110,24601
1969000	12220,18575,6352
5011500	11196,29203,22489
4035250	9340,11176,21372
10831750	5640,13482,17024
3363000	3627,18868,15138
2874500	7868,14914,2257
1531250	2963,11176,14020
4054000	24088,20121,9090
2103250	12394,11196,4220
7860250	24746
5279750	2368,3228,27435
5828250	4808,2963,16979
6233750	4220,15138,26619,2963,21865
11761750	21110,20846,5086
2331750	7868,7179,21092
4186500	7105,12394,27092
2797750	8689,3658,11790
9794000	17835,9301,14182
6266000	12220,20950,7150
5059000	9195,21838,23662
4097500	2762,24844,13779
2626250	7868,11176,28230
9685000	11605,3185,17032
11225500	21110,2655,11175
4370750	1666,21110,4078
8523250	16110,4949,3627
847750	18024,11080,21110
9244000	7868,9486,13442
8102000	21110,2683,768
6150750	15831,2655,17429
1904750	23928,22484,12220
6412750	15019,14580,26722
9463750	15138,11196,16406
9076750	25372,4731,5712
11352000	11176,11080,290
1782250	155,19374,21110
11782250	18002,17748
9979000	7868,25372,12352
1074500	9567,22556,4510
5320000	3228,911,4078
11874000	12220,11679,4220
7218000	22317,12220,26619
11022500	15019,21092,28653
11579750	11196,12688,26722
10790500	22126,22889,22547
3272000	21315,3534,25544
3089500	14020,1917,4078
5248750	28924,23623,27035
5608250	21110,7868,25372
3795000	29099,12352,24601
2768250	23421,16094,19026
8701250	2257,3228,4571
7921500	28087,17327,18575
3344750	29099,12220,8805,3313
11601500	12220,11080,2655
1699500	16716,24715,15019
5948500	17771,13736,22164
11321750	21672,17060,13745
5780000	10058,21092,19523
11701500	22052,14020,29203
6897000	14020,11196,18544
3981750	3228,27791,1831
9344000	21110,17024,15138
854250	2257,11176,24601
3326250	25372,20154,9479
8702500	11196,7868,29547
9488750	3564
1324500	7868,8028,12173,16376
8017000	23284,22280,15096,21092,3719
4994000	25596,15138,2655
10566000	7868,13554,28053
7797000	6571,11679,15159
5336750	7868,12352,11176
3282250	29099,7868,11857
981000	11176,8662,8689
